[2024-03-18 / 20:32:00.330] [38] [mainPoll] Cycle iteration time: 967µs (Average: 5.17226ms); Sleeping
[2024-03-18 / 20:32:00.675] [75] [walletPoll] Cycle iteration time: 518.3µs (Average: 21.520129ms); Sleeping
[2024-03-18 / 20:32:08.597] [38] [dirtyPoll] Cycle iteration time: 8.2690223s (Average: 6.751484092s); Sleeping
[2024-03-18 / 20:33:00.679] [76] [walletPoll] Cycle iteration time: 493µs (Average: 21.243456ms); Sleeping
[2024-03-18 / 20:34:00.335] [39] [mainPoll] Cycle iteration time: 1.7447ms (Average: 5.084374ms); Sleeping
[2024-03-18 / 20:34:00.681] [77] [walletPoll] Cycle iteration time: 427.1µs (Average: 20.973114ms); Sleeping
[2024-03-18 / 20:34:08.498] [39] [dirtyPoll] Cycle iteration time: 8.1648586s (Average: 6.787724464s); Sleeping
[2024-03-18 / 20:35:00.681] [78] [walletPoll] Cycle iteration time: 0s (Average: 20.704228ms); Sleeping
[2024-03-18 / 20:36:00.341] [40] [mainPoll] Cycle iteration time: 807.9µs (Average: 4.977462ms); Sleeping
[2024-03-18 / 20:36:00.683] [79] [walletPoll] Cycle iteration time: 299.6µs (Average: 20.445941ms); Sleeping
[2024-03-18 / 20:36:08.602] [40] [dirtyPoll] Cycle iteration time: 8.262184s (Average: 6.824585952s); Sleeping
[2024-03-18 / 20:37:00.685] [80] [walletPoll] Cycle iteration time: 644.4µs (Average: 20.198422ms); Sleeping
[2024-03-18 / 20:38:00.351] [41] [mainPoll] Cycle iteration time: 1.3905ms (Average: 4.889975ms); Sleeping
[2024-03-18 / 20:38:00.693] [81] [walletPoll] Cycle iteration time: 1.3608ms (Average: 19.965859ms); Sleeping
[2024-03-18 / 20:38:08.523] [41] [dirtyPoll] Cycle iteration time: 8.1729708s (Average: 6.857473387s); Sleeping
[2024-03-18 / 20:39:00.695] [82] [walletPoll] Cycle iteration time: 0s (Average: 19.722373ms); Sleeping
[2024-03-18 / 20:40:00.366] [42] [mainPoll] Cycle iteration time: 993.1µs (Average: 4.797192ms); Sleeping
[2024-03-18 / 20:40:00.709] [83] [walletPoll] Cycle iteration time: 1.2528ms (Average: 19.499848ms); Sleeping
[2024-03-18 / 20:40:08.630] [42] [dirtyPoll] Cycle iteration time: 8.2651393s (Average: 6.890989242s); Sleeping
[2024-03-18 / 20:41:00.721] [84] [walletPoll] Cycle iteration time: 733.2µs (Average: 19.276435ms); Sleeping
[2024-03-18 / 20:42:00.376] [43] [mainPoll] Cycle iteration time: 509.9µs (Average: 4.697488ms); Sleeping
[2024-03-18 / 20:42:00.737] [85] [walletPoll] Cycle iteration time: 1.0301ms (Average: 19.061772ms); Sleeping
[2024-03-18 / 20:42:08.528] [43] [dirtyPoll] Cycle iteration time: 8.1526704s (Average: 6.920330665s); Sleeping
[2024-03-18 / 20:43:00.748] [86] [walletPoll] Cycle iteration time: 677µs (Average: 18.847996ms); Sleeping
[2024-03-18 / 20:44:00.387] [44] [mainPoll] Cycle iteration time: 1.6996ms (Average: 4.629354ms); Sleeping
[2024-03-18 / 20:44:00.761] [87] [walletPoll] Cycle iteration time: 0s (Average: 18.631352ms); Sleeping
[2024-03-18 / 20:44:08.648] [44] [dirtyPoll] Cycle iteration time: 8.262727s (Average: 6.950839672s); Sleeping
[2024-03-18 / 20:45:00.767] [88] [walletPoll] Cycle iteration time: 446.3µs (Average: 18.424704ms); Sleeping
[2024-03-18 / 20:46:00.391] [45] [mainPoll] Cycle iteration time: 1.4336ms (Average: 4.558337ms); Sleeping
[2024-03-18 / 20:46:00.767] [89] [walletPoll] Cycle iteration time: 899.6µs (Average: 18.227793ms); Sleeping
[2024-03-18 / 20:46:08.552] [45] [dirtyPoll] Cycle iteration time: 8.1620785s (Average: 6.977756091s); Sleeping
[2024-03-18 / 20:47:00.782] [90] [walletPoll] Cycle iteration time: 108.8µs (Average: 18.026471ms); Sleeping
[2024-03-18 / 20:48:00.404] [46] [mainPoll] Cycle iteration time: 1.349ms (Average: 4.488569ms); Sleeping
[2024-03-18 / 20:48:00.793] [91] [walletPoll] Cycle iteration time: 0s (Average: 17.828378ms); Sleeping
[2024-03-18 / 20:48:08.681] [46] [dirtyPoll] Cycle iteration time: 8.279307s (Average: 7.006050676s); Sleeping
[2024-03-18 / 20:49:00.794] [92] [walletPoll] Cycle iteration time: 99.6µs (Average: 17.635673ms); Sleeping
[2024-03-18 / 20:50:00.416] [47] [mainPoll] Cycle iteration time: 1.5067ms (Average: 4.425125ms); Sleeping
[2024-03-18 / 20:50:00.809] [93] [walletPoll] Cycle iteration time: 511.5µs (Average: 17.451543ms); Sleeping
[2024-03-18 / 20:50:08.617] [47] [dirtyPoll] Cycle iteration time: 8.202909s (Average: 7.031515746s); Sleeping
[2024-03-18 / 20:51:00.821] [94] [walletPoll] Cycle iteration time: 819.2µs (Average: 17.274603ms); Sleeping
[2024-03-18 / 20:52:00.423] [48] [mainPoll] Cycle iteration time: 1.6193ms (Average: 4.36667ms); Sleeping
[2024-03-18 / 20:52:00.833] [95] [walletPoll] Cycle iteration time: 984.6µs (Average: 17.103129ms); Sleeping
[2024-03-18 / 20:52:08.777] [48] [dirtyPoll] Cycle iteration time: 8.3553239s (Average: 7.059095083s); Sleeping
[2024-03-18 / 20:53:00.837] [96] [walletPoll] Cycle iteration time: 55.6µs (Average: 16.925551ms); Sleeping
[2024-03-18 / 20:54:00.429] [49] [mainPoll] Cycle iteration time: 562µs (Average: 4.289024ms); Sleeping
[2024-03-18 / 20:54:00.850] [97] [walletPoll] Cycle iteration time: 926.1µs (Average: 16.760608ms); Sleeping
[2024-03-18 / 20:54:08.571] [49] [dirtyPoll] Cycle iteration time: 8.1429988s (Average: 7.081215567s); Sleeping
[2024-03-18 / 20:55:00.860] [98] [walletPoll] Cycle iteration time: 866.6µs (Average: 16.598424ms); Sleeping
[2024-03-18 / 20:56:00.435] [50] [mainPoll] Cycle iteration time: 733.5µs (Average: 4.217914ms); Sleeping
[2024-03-18 / 20:56:00.873] [99] [walletPoll] Cycle iteration time: 518.9µs (Average: 16.436005ms); Sleeping
[2024-03-18 / 20:56:08.767] [50] [dirtyPoll] Cycle iteration time: 8.3328545s (Average: 7.106248346s); Sleeping
[2024-03-18 / 20:57:00.874] [100] [walletPoll] Cycle iteration time: 798.2µs (Average: 16.279627ms); Sleeping
[2024-03-18 / 20:58:00.436] [51] [mainPoll] Cycle iteration time: 1.0019ms (Average: 4.154854ms); Sleeping
[2024-03-18 / 20:58:00.885] [101] [walletPoll] Cycle iteration time: 507.2µs (Average: 16.123464ms); Sleeping
[2024-03-18 / 20:58:08.629] [51] [dirtyPoll] Cycle iteration time: 8.1930478s (Average: 7.127558139s); Sleeping
[2024-03-18 / 20:59:00.906] [102] [walletPoll] Cycle iteration time: 20.7619ms (Average: 16.168939ms); Sleeping
[2024-03-18 / 21:00:00.456] [52] [mainPoll] Cycle iteration time: 12.0193ms (Average: 4.306094ms); Sleeping
[2024-03-18 / 21:00:00.888] [103] [walletPoll] Cycle iteration time: 590µs (Average: 16.017687ms); Sleeping
[2024-03-18 / 21:00:08.656] [52] [dirtyPoll] Cycle iteration time: 8.2121297s (Average: 7.148415284s); Sleeping
[2024-03-18 / 21:01:00.889] [104] [walletPoll] Cycle iteration time: 1.9421ms (Average: 15.882345ms); Sleeping
[2024-03-18 / 21:01:47.636] [3] [neighborPoll] Cycle iteration time: 3m47.6183543s (Average: 4m1.745673833s); Sleeping
[2024-03-18 / 21:02:00.505] [53] [mainPoll] Cycle iteration time: 53.2531ms (Average: 5.229622ms); Sleeping
[2024-03-18 / 21:02:00.897] [105] [walletPoll] Cycle iteration time: 517.9µs (Average: 15.736017ms); Sleeping
[2024-03-18 / 21:02:08.733] [53] [dirtyPoll] Cycle iteration time: 8.2808974s (Average: 7.169782871s); Sleeping
[2024-03-18 / 21:03:00.903] [106] [walletPoll] Cycle iteration time: 0s (Average: 15.587564ms); Sleeping
[2024-03-18 / 21:04:00.467] [54] [mainPoll] Cycle iteration time: 1.7856ms (Average: 5.165844ms); Sleeping
[2024-03-18 / 21:04:00.917] [107] [walletPoll] Cycle iteration time: 704.1µs (Average: 15.448466ms); Sleeping
[2024-03-18 / 21:04:08.656] [54] [dirtyPoll] Cycle iteration time: 8.1907465s (Average: 7.188689605s); Sleeping
[2024-03-18 / 21:05:00.919] [108] [walletPoll] Cycle iteration time: 570.3µs (Average: 15.310705ms); Sleeping
[2024-03-18 / 21:06:00.475] [55] [mainPoll] Cycle iteration time: 788.8µs (Average: 5.086261ms); Sleeping
[2024-03-18 / 21:06:00.929] [109] [walletPoll] Cycle iteration time: 360.7µs (Average: 15.173549ms); Sleeping
[2024-03-18 / 21:06:08.665] [55] [dirtyPoll] Cycle iteration time: 8.1909489s (Average: 7.206912501s); Sleeping
[2024-03-18 / 21:07:00.935] [110] [walletPoll] Cycle iteration time: 517.6µs (Average: 15.040313ms); Sleeping
[2024-03-18 / 21:08:00.476] [56] [mainPoll] Cycle iteration time: 229.2µs (Average: 4.999528ms); Sleeping
[2024-03-18 / 21:08:00.936] [111] [walletPoll] Cycle iteration time: 868.6µs (Average: 14.91264ms); Sleeping
[2024-03-18 / 21:08:08.730] [56] [dirtyPoll] Cycle iteration time: 8.2545927s (Average: 7.225621076s); Sleeping
[2024-03-18 / 21:09:00.946] [112] [walletPoll] Cycle iteration time: 0s (Average: 14.779491ms); Sleeping
